3 49 0 4.286e-01 1.000e+00
3 49 1 2.903e-02 5.342e-02
3 49 2 2.592e-03 3.661e-03
3 49 3 1.383e-03 2.840e-04
3 49 4 1.318e-03 2.393e-05
3 49 5 1.311e-03 1.969e-06
3 49 6 1.310e-03 1.246e-07
3 49 7 1.310e-03 1.236e-08
3 49 8 1.310e-03 1.247e-09
3 49 9 1.310e-03 1.030e-10
3 49 10 1.310e-03 7.476e-12
4 225 0 4.667e-01 1.000e+00
4 225 1 2.708e-02 2.337e-02
4 225 2 2.674e-03 2.359e-03
4 225 3 3.615e-04 2.274e-04
4 225 4 3.151e-04 2.217e-05
4 225 5 3.156e-04 2.130e-06
4 225 6 3.152e-04 2.047e-07
4 225 7 3.151e-04 2.004e-08
4 225 8 3.151e-04 1.992e-09
4 225 9 3.151e-04 2.057e-10
4 225 10 3.151e-04 2.224e-11
5 961 0 4.839e-01 1.000e+00
5 961 1 2.630e-02 9.253e-03
5 961 2 2.908e-03 1.048e-03
5 961 3 3.017e-04 1.157e-04
5 961 4 7.608e-05 1.308e-05
5 961 5 7.656e-05 1.461e-06
5 961 6 7.677e-05 1.600e-07
5 961 7 7.674e-05 1.715e-08
5 961 8 7.673e-05 1.800e-09
5 961 9 7.673e-05 1.862e-10
5 961 10 7.673e-05 1.919e-11
6 3969 0 4.921e-01 1.000e+00
6 3969 1 2.592e-02 3.449e-03
6 3969 2 2.955e-03 4.019e-04
6 3969 3 3.274e-04 4.729e-05
6 3969 4 3.680e-05 5.708e-06
6 3969 5 1.883e-05 6.857e-07
6 3969 6 1.892e-05 8.155e-08
6 3969 7 1.891e-05 9.567e-09
6 3969 8 1.891e-05 1.105e-09
6 3969 9 1.891e-05 1.257e-10
6 3969 10 1.891e-05 1.409e-11
7 16129 0 4.961e-01 1.000e+00
7 16129 1 2.572e-02 1.250e-03
7 16129 2 2.956e-03 1.460e-04
7 16129 3 3.347e-04 1.777e-05
7 16129 4 3.696e-05 2.214e-06
7 16129 5 5.898e-06 2.762e-07
7 16129 6 4.719e-06 3.433e-08
7 16129 7 4.698e-06 4.243e-09
7 16129 8 4.693e-06 5.206e-10
7 16129 9 4.692e-06 6.334e-11
7 16129 10 4.692e-06 7.630e-12
8 65025 0 4.980e-01 1.000e+00
8 65025 1 2.562e-02 4.472e-04
8 65025 2 2.950e-03 5.206e-05
8 65025 3 3.360e-04 6.438e-06
8 65025 4 3.784e-05 8.147e-07
8 65025 5 4.323e-06 1.036e-07
8 65025 6 1.269e-06 1.320e-08
8 65025 7 1.176e-06 1.682e-09
8 65025 8 1.169e-06 2.139e-10
8 65025 9 1.169e-06 2.712e-11
8 65025 10 1.168e-06 3.426e-12
9 261121 0 4.990e-01 1.000e+00
9 261121 1 2.557e-02 1.590e-04
9 261121 2 2.946e-03 1.845e-05
9 261121 3 3.360e-04 2.297e-06
9 261121 4 3.807e-05 2.925e-07
9 261121 5 4.306e-06 3.761e-08
9 261121 6 5.752e-07 4.860e-09
9 261121 7 3.029e-07 6.301e-10
9 261121 8 2.926e-07 8.184e-11
9 261121 9 2.916e-07 1.064e-11
9 261121 10 2.915e-07 1.382e-12
10 1046529 0 4.995e-01 1.000e+00
10 1046529 1 2.555e-02 5.639e-05
10 1046529 2 2.944e-03 6.527e-06
10 1046529 3 3.358e-04 8.143e-07
10 1046529 4 3.811e-05 1.040e-07
10 1046529 5 4.327e-06 1.345e-08
10 1046529 6 5.015e-07 1.753e-09
10 1046529 7 9.709e-08 2.297e-10
10 1046529 8 7.410e-08 3.023e-11
10 1046529 9 7.292e-08 3.987e-12
10 1046529 10 7.282e-08 5.270e-13
11 4190209 0 4.998e-01 1.000e+00
11 4190209 1 2.554e-02 1.997e-05
11 4190209 2 2.942e-03 2.308e-06
11 4190209 3 3.357e-04 2.880e-07
11 4190209 4 3.811e-05 3.683e-08
11 4190209 5 4.334e-06 4.777e-09
11 4190209 6 4.965e-07 6.257e-10
11 4190209 7 6.169e-08 8.259e-11
11 4190209 8 2.027e-08 1.096e-11
11 4190209 9 1.831e-08 1.460e-12
11 4190209 10 1.820e-08 1.951e-13
12 16769025 0 4.999e-01 1.000e+00
12 16769025 1 2.553e-02 7.064e-06
12 16769025 2 2.942e-03 8.160e-07
12 16769025 3 3.356e-04 1.018e-07
12 16769025 4 3.811e-05 1.303e-08
12 16769025 5 4.335e-06 1.692e-09
12 16769025 6 4.961e-07 2.222e-10
12 16769025 7 5.772e-08 2.946e-11
12 16769025 8 8.541e-09 3.933e-12
12 16769025 9 4.712e-09 5.275e-13
12 16769025 10 4.554e-09 7.144e-14
13 67092481 0 4.999e-01 1.000e+00
13 67092481 1 2.553e-02 2.498e-06
13 67092481 2 2.941e-03 2.885e-07
13 67092481 3 3.356e-04 3.598e-08
13 67092481 4 3.811e-05 4.606e-09
13 67092481 5 4.335e-06 5.985e-10
13 67092481 6 4.960e-07 7.873e-11
13 67092481 7 5.720e-08 1.047e-11
13 67092481 8 6.834e-09 1.403e-12
13 67092481 9 1.447e-09 1.894e-13
13 67092481 10 1.146e-09 2.811e-14
