3 49 0 4.286e-01 1.000e+00
3 49 1 2.681e-02 5.394e-02
3 49 2 2.242e-03 4.053e-03
3 49 3 1.376e-03 3.213e-04
3 49 4 1.317e-03 2.377e-05
3 49 5 1.311e-03 1.767e-06
3 49 6 1.310e-03 1.116e-07
3 49 7 1.310e-03 1.197e-08
3 49 8 1.310e-03 1.130e-09
3 49 9 1.310e-03 8.905e-11
3 49 10 1.310e-03 6.276e-12
4 225 0 4.667e-01 1.000e+00
4 225 1 4.275e-02 5.869e-02
4 225 2 4.057e-03 4.915e-03
4 225 3 3.512e-04 4.498e-04
4 225 4 3.016e-04 4.333e-05
4 225 5 3.146e-04 4.206e-06
4 225 6 3.151e-04 4.003e-07
4 225 7 3.151e-04 3.826e-08
4 225 8 3.151e-04 3.646e-09
4 225 9 3.151e-04 3.411e-10
4 225 10 3.151e-04 3.282e-11
5 961 0 4.839e-01 1.000e+00
5 961 1 4.989e-02 5.785e-02
5 961 2 5.364e-03 4.489e-03
5 961 3 5.442e-04 3.933e-04
5 961 4 6.341e-05 3.794e-05
5 961 5 7.376e-05 3.883e-06
5 961 6 7.652e-05 4.077e-07
5 961 7 7.672e-05 4.311e-08
5 961 8 7.673e-05 4.537e-09
5 961 9 7.673e-05 4.750e-10
5 961 10 7.673e-05 4.953e-11
6 3969 0 4.921e-01 1.000e+00
6 3969 1 5.276e-02 5.770e-02
6 3969 2 5.853e-03 4.225e-03
6 3969 3 6.472e-04 3.449e-04
6 3969 4 6.397e-05 3.107e-05
6 3969 5 1.619e-05 3.039e-06
6 3969 6 1.858e-05 3.134e-07
6 3969 7 1.888e-05 3.332e-08
6 3969 8 1.891e-05 3.600e-09
6 3969 9 1.891e-05 3.928e-10
6 3969 10 1.891e-05 4.298e-11
7 16129 0 4.961e-01 1.000e+00
7 16129 1 5.393e-02 5.781e-02
7 16129 2 6.030e-03 4.119e-03
7 16129 3 6.800e-04 3.214e-04
7 16129 4 7.474e-05 2.723e-05
7 16129 5 7.474e-06 2.507e-06
7 16129 6 4.394e-06 2.466e-07
7 16129 7 4.664e-06 2.543e-08
7 16129 8 4.690e-06 2.711e-09
7 16129 9 4.691e-06 2.965e-10
7 16129 10 4.692e-06 3.293e-11
8 65025 0 4.980e-01 1.000e+00
8 65025 1 5.443e-02 5.791e-02
8 65025 2 6.097e-03 4.075e-03
8 65025 3 6.904e-04 3.107e-04
8 65025 4 7.797e-05 2.531e-05
8 65025 5 8.416e-06 2.217e-06
8 65025 6 1.210e-06 2.069e-07
8 65025 7 1.143e-06 2.034e-08
8 65025 8 1.166e-06 2.089e-09
8 65025 9 1.168e-06 2.232e-10
8 65025 10 1.168e-06 2.459e-11
9 261121 0 4.990e-01 1.000e+00
9 261121 1 5.466e-02 5.798e-02
9 261121 2 6.124e-03 4.056e-03
9 261121 3 6.939e-04 3.056e-04
9 261121 4 7.887e-05 2.436e-05
9 261121 5 8.874e-06 2.065e-06
9 261121 6 9.547e-07 1.849e-07
9 261121 7 2.842e-07 1.730e-08
9 261121 8 2.898e-07 1.691e-09
9 261121 9 2.914e-07 1.732e-10
9 261121 10 2.915e-07 1.853e-11
10 1046529 0 4.995e-01 1.000e+00
10 1046529 1 5.476e-02 5.801e-02
10 1046529 2 6.135e-03 4.046e-03
10 1046529 3 6.952e-04 3.031e-04
10 1046529 4 7.913e-05 2.389e-05
10 1046529 5 9.002e-06 1.988e-06
10 1046529 6 1.008e-06 1.731e-07
10 1046529 7 1.218e-07 1.560e-08
10 1046529 8 7.201e-08 1.453e-09
10 1046529 9 7.271e-08 1.414e-10
10 1046529 10 7.280e-08 1.445e-11
11 4190209 0 4.998e-01 1.000e+00
11 4190209 1 5.481e-02 5.803e-02
11 4190209 2 6.140e-03 4.042e-03
11 4190209 3 6.957e-04 3.018e-04
11 4190209 4 7.921e-05 2.365e-05
11 4190209 5 9.035e-06 1.948e-06
11 4190209 6 1.028e-06 1.669e-07
11 4190209 7 1.154e-07 1.468e-08
11 4190209 8 2.104e-08 1.319e-09
11 4190209 9 1.814e-08 1.224e-10
11 4190209 10 1.819e-08 1.188e-11
12 16769025 0 4.999e-01 1.000e+00
12 16769025 1 5.483e-02 5.804e-02
12 16769025 2 6.142e-03 4.040e-03
12 16769025 3 6.959e-04 3.012e-04
12 16769025 4 7.923e-05 2.353e-05
12 16769025 5 9.044e-06 1.928e-06
12 16769025 6 1.034e-06 1.638e-07
12 16769025 7 1.178e-07 1.420e-08
12 16769025 8 1.376e-08 1.247e-09
12 16769025 9 4.697e-09 1.118e-10
12 16769025 10 4.542e-09 1.035e-11
13 67092481 0 4.999e-01 1.000e+00
13 67092481 1 5.484e-02 5.804e-02
13 67092481 2 6.143e-03 4.039e-03
13 67092481 3 6.960e-04 3.009e-04
13 67092481 4 7.924e-05 2.347e-05
13 67092481 5 9.046e-06 1.918e-06
13 67092481 6 1.035e-06 1.622e-07
13 67092481 7 1.186e-07 1.395e-08
13 67092481 8 1.357e-08 1.210e-09
13 67092481 9 1.872e-09 1.060e-10
13 67092481 10 1.142e-09 9.503e-12
